date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:13	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2009%20May%202024%2001:26:52%20GMT	http://nid.naver.com/nidlogin.login	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/nid.naver.com/nidlogin.0.delayed	(from )
19:25:14	12844/12844	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20May%202024%2001:26:53%20GMT	https://nid.naver.com/nidlogin.login	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/nid.naver.com/nidlogin.html	(from )
19:25:15	205/205	---MCZ	200	added ('OK')	text/plain	etag:W/%225fca047f-28a%22	https://nid.naver.com/robots.txt		(from )
19:25:16	11233/11233	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202022%2001:46:44%20GMT	https://ssl.pstatic.net/static/nid/account/naver_og_image.png	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/ssl.pstatic.net/static/nid/account/naver_og_image.png	(from https://nid.naver.com/nidlogin.login)
19:25:16	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%226639d18e-1536%22	https://nid.naver.com/login/image/favicon.ico	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/nid.naver.com/login/image/favicon.ico	(from https://nid.naver.com/nidlogin.login)
19:25:16	875/875	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Apr%202022%2005:54:35%20GMT	https://s.pstatic.net/static/www/mobile/edit/20220408_0/upload_16493972759253VFbg.png	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/s.pstatic.net/static/www/mobile/edit/20220408_0/upload_16493972759253VFbg.png	(from https://nid.naver.com/nidlogin.login)
19:25:17	1072/1072	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Apr%202022%2005:54:57%20GMT	https://s.pstatic.net/static/www/mobile/edit/20220408_0/upload_1649397297725OckVW.png	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/s.pstatic.net/static/www/mobile/edit/20220408_0/upload_1649397297725OckVW.png	(from https://nid.naver.com/nidlogin.login)
19:25:17	1447/1447	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Apr%202022%2005:55:12%20GMT	https://s.pstatic.net/static/www/mobile/edit/20220408_0/upload_1649397312685xI8Rn.png	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/s.pstatic.net/static/www/mobile/edit/20220408_0/upload_1649397312685xI8Rn.png	(from https://nid.naver.com/nidlogin.login)
19:25:17	1827/1827	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Apr%202022%2005:55:28%20GMT	https://s.pstatic.net/static/www/mobile/edit/20220408_0/upload_1649397328060s5AJW.png	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/s.pstatic.net/static/www/mobile/edit/20220408_0/upload_1649397328060s5AJW.png	(from https://nid.naver.com/nidlogin.login)
19:25:18	54449/54449	---MCZ	200	added ('OK')	text/css	etag:W/%226639d18e-d4b1%22	https://nid.naver.com/login/css/global/desktop/w_20240404.css?20240415	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/nid.naver.com/login/css/global/desktop/w_20240404cb1c.css	(from https://nid.naver.com/nidlogin.login)
19:25:19	7156/7156	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20May%202024%2001:26:58%20GMT	https://nid.naver.com/login/ext/help_ip3.html	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/nid.naver.com/login/ext/help_ip3.html	(from https://nid.naver.com/nidlogin.login)
19:25:20	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2009%20May%202024%2001:26:58%20GMT	https://nid.naver.com/user2/api/route?m=routePwInquiry&lang=en_US	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/nid.naver.com/user2/api/route79fb	(from https://nid.naver.com/nidlogin.login)
19:25:20	457/457	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20May%202024%2001:26:59%20GMT	https://nid.naver.com/user2/help/pwInquiry?lang=en_US	C:/Users/axell/OneDrive/Documents/Freelance/hax/blogHax/nid.naver.com/user2/help/pwInquiry380c.html	(from https://nid.naver.com/nidlogin.login)
